sample_id	group	treatment	dose	timepoint	sex	animal_id	age_at_treatment	weight_at_treatment	RIN	genotype	notes	project_id	sacrifice_batch	RNA_extraction_batch	filename	instrument	run	flow_cell	lane
29	sal.8h.F.29	sal.8h	saline	0.9%	8 hour	F	29	8 weeks	18 grams	9.6	C57BL/6	NA	Psil1	1	6	Psi1_A29_NS_Female	A00938	580	HTWCMDSX7	3
30	sal.8h.F.30	sal.8h	saline	0.9%	8 hour	F	30	8 weeks	18 grams	9.5	C57BL/6	NA	Psil1	1	6	Psi1_A30_NS_Female	A00938	580	HTWCMDSX7	3
31	psilo.high.24h.M.31	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	31	8 weeks	26 grams	9.6	C57BL/6	NA	Psil1	2	6	Psi1_A31_High_Male	A00938	580	HTWCMDSX7	3
32	psilo.high.24h.M.32	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	32	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	2	6	Psi1_A32_High_Male	A00938	580	HTWCMDSX7	3
33	psilo.high.24h.M.33	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	33	8 weeks	26 grams	7.5	C57BL/6	NA	Psil1	2	6	Psi1_A33_High_Male	A00938	580	HTWCMDSX7	3
34	psilo.high.24h.M.34	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	34	8 weeks	26 grams	9.5	C57BL/6	NA	Psil1	2	6	Psi1_A34_High_Male	A00938	580	HTWCMDSX7	3
35	psilo.high.24h.M.35	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	35	8 weeks	26 grams	9.2	C57BL/6	NA	Psil1	2	6	Psi1_A35_High_Male	A00938	580	HTWCMDSX7	3
36	psilo.high.24h.F.36	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	36	8 weeks	18 grams	9.4	C57BL/6	NA	Psil1	2	6	Psi1_A36_High_Female	A00938	580	HTWCMDSX7	3
37	psilo.high.24h.F.37	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	37	8 weeks	18 grams	9.3	C57BL/6	NA	Psil1	2	5	Psi1_A37_High_Female	A00938	580	HTWCMDSX7	3
38	psilo.high.24h.F.38	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	38	8 weeks	18 grams	9.2	C57BL/6	NA	Psil1	2	5	Psi1_A38_High_Female	A00938	580	HTWCMDSX7	3
