sample_name	organism	strain	age	collection_date	geo_loc_name	tissue	group	treatment	dose	timepoint	sex	animal_id	age_at_treatment	weight_at_treatment	RIN	sacrifice_batch	RNA_extraction_batch
sal.8h.F.29	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.8h	saline	0.9%	8 hour	F	29	8 weeks	18 grams	9.6	1	6
sal.8h.F.30	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.8h	saline	0.9%	8 hour	F	30	8 weeks	18 grams	9.5	1	6
psilo.high.24h.M.31	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	31	8 weeks	26 grams	9.6	2	6
psilo.high.24h.M.32	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	32	8 weeks	26 grams	9.5	2	6
psilo.high.24h.M.33	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	33	8 weeks	26 grams	7.5	2	6
psilo.high.24h.M.34	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	34	8 weeks	26 grams	9.5	2	6
psilo.high.24h.M.35	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	M	35	8 weeks	26 grams	9.2	2	6
psilo.high.24h.F.36	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	36	8 weeks	18 grams	9.4	2	6
psilo.high.24h.F.37	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	37	8 weeks	18 grams	9.3	2	5
psilo.high.24h.F.38	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	38	8 weeks	18 grams	9.2	2	5
psilo.high.24h.F.39	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	39	8 weeks	18 grams	9.4	2	5
psilo.high.24h.F.40	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.24h	psilocybin	1 mg / kg	24 hour	F	40	8 weeks	18 grams	9.6	2	5
psilo.low.24h.M.41	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	41	8 weeks	26 grams	9.5	2	5
psilo.low.24h.M.42	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	42	8 weeks	26 grams	9.5	2	5
psilo.low.24h.M.43	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	43	8 weeks	26 grams	9.5	2	5
psilo.low.24h.M.44	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	44	8 weeks	26 grams	9.8	2	5
psilo.low.24h.M.45	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	M	45	8 weeks	26 grams	9.9	2	5
psilo.low.24h.F.46	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	46	8 weeks	18 grams	8.1	2	5
psilo.low.24h.F.47	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	47	8 weeks	18 grams	9.5	2	5
psilo.low.24h.F.48	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	48	8 weeks	18 grams	9.4	2	5
psilo.low.24h.F.49	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	49	8 weeks	18 grams	9.3	2	5
psilo.low.24h.F.50	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.24h	psilocybin	0.25 mg / kg	24 hour	F	50	8 weeks	18 grams	9.2	2	5
sal.24h.M.51	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	M	51	8 weeks	26 grams	9.4	2	4
sal.24h.M.52	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	M	52	8 weeks	26 grams	9.3	2	4
sal.24h.M.53	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	M	53	8 weeks	26 grams	9.5	2	4
sal.24h.M.54	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	M	54	8 weeks	26 grams	9.5	2	4
sal.24h.M.55	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	M	55	8 weeks	26 grams	9.4	2	4
sal.24h.F.56	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	F	56	8 weeks	18 grams	9.4	2	4
sal.24h.F.57	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	F	57	8 weeks	18 grams	9.4	2	4
sal.24h.F.58	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	F	58	8 weeks	18 grams	9.3	2	4
sal.24h.F.59	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	F	59	8 weeks	18 grams	9.5	2	4
sal.24h.F.60	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	sal.24h	saline	0.9%	24 hour	F	60	8 weeks	18 grams	9.3	2	4
psilo.high.7d.M.61	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	61	8 weeks	26 grams	9.3	3	4
psilo.high.7d.M.62	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	62	8 weeks	26 grams	9.5	3	4
psilo.high.7d.M.63	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	63	8 weeks	26 grams	9.2	3	4
psilo.high.7d.M.64	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	64	8 weeks	26 grams	9.4	3	4
psilo.high.7d.M.65	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	M	65	8 weeks	26 grams	9.3	3	4
psilo.high.7d.F.66	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	66	8 weeks	18 grams	9.4	3	3
psilo.high.7d.F.67	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	67	8 weeks	18 grams	9.5	3	3
psilo.high.7d.F.68	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	68	8 weeks	18 grams	9.4	3	3
psilo.high.7d.F.69	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	69	8 weeks	18 grams	9.5	3	3
psilo.high.7d.F.70	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.high.7d	psilocybin	1 mg / kg	7 day	F	70	8 weeks	18 grams	9.4	3	3
psilo.low.7d.M.71	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	71	8 weeks	26 grams	9.1	3	3
psilo.low.7d.M.72	Mus musculus	B57BL/6	8 weeks + timepoint duration	01-Oct-2023	USA	prefrontal cortex	psilo.low.7d	psilocybin	0.25 mg / kg	7 day	M	72	8 weeks	26 grams	9.5	3	3
