sample_id	group	group2	treatment	dose	timepoint	sex	animal_id	RNA_extraction_batch	sacrifice_batch	age_at_treatment	weight_at_treatment	RIN	genotype	notes	project_id	filename
35	H.24h.M.35	H.24h	H.24h.M	psilocybin	1 mg / kg	24 hour	M	35	6	2	8 weeks	26 grams	9.2	C57BL/6		Psi1	Psi1_A35_High_Male
36	H.24h.F.36	H.24h	H.24h.F	psilocybin	1 mg / kg	24 hour	F	36	6	2	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A36_High_Female
37	H.24h.F.37	H.24h	H.24h.F	psilocybin	1 mg / kg	24 hour	F	37	5	2	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A37_High_Female
38	H.24h.F.38	H.24h	H.24h.F	psilocybin	1 mg / kg	24 hour	F	38	5	2	8 weeks	18 grams	9.2	C57BL/6		Psi1	Psi1_A38_High_Female
39	H.24h.F.39	H.24h	H.24h.F	psilocybin	1 mg / kg	24 hour	F	39	5	2	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A39_High_Female
40	H.24h.F.40	H.24h	H.24h.F	psilocybin	1 mg / kg	24 hour	F	40	5	2	8 weeks	18 grams	9.6	C57BL/6		Psi1	Psi1_A40_High_Female
41	L.24h.M.41	L.24h	L.24h.M	psilocybin	0.25 mg / kg	24 hour	M	41	5	2	8 weeks	26 grams	9.5	C57BL/6		Psi1	Psi1_A41_Low_Male
42	L.24h.M.42	L.24h	L.24h.M	psilocybin	0.25 mg / kg	24 hour	M	42	5	2	8 weeks	26 grams	9.5	C57BL/6		Psi1	Psi1_A42_Low_Male
43	L.24h.M.43	L.24h	L.24h.M	psilocybin	0.25 mg / kg	24 hour	M	43	5	2	8 weeks	26 grams	9.5	C57BL/6		Psi1	Psi1_A43_Low_Male
44	L.24h.M.44	L.24h	L.24h.M	psilocybin	0.25 mg / kg	24 hour	M	44	5	2	8 weeks	26 grams	9.8	C57BL/6		Psi1	Psi1_A44_Low_Male
45	L.24h.M.45	L.24h	L.24h.M	psilocybin	0.25 mg / kg	24 hour	M	45	5	2	8 weeks	26 grams	9.9	C57BL/6		Psi1	Psi1_A45_Low_Male
46	L.24h.F.46	L.24h	L.24h.F	psilocybin	0.25 mg / kg	24 hour	F	46	5	2	8 weeks	18 grams	8.1	C57BL/6		Psi1	Psi1_A46_Low_Female
47	L.24h.F.47	L.24h	L.24h.F	psilocybin	0.25 mg / kg	24 hour	F	47	5	2	8 weeks	18 grams	9.5	C57BL/6		Psi1	Psi1_A47_Low_Female
48	L.24h.F.48	L.24h	L.24h.F	psilocybin	0.25 mg / kg	24 hour	F	48	5	2	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A48_Low_Female
49	L.24h.F.49	L.24h	L.24h.F	psilocybin	0.25 mg / kg	24 hour	F	49	5	2	8 weeks	18 grams	9.3	C57BL/6		Psi1	Psi1_A49_Low_Female
50	L.24h.F.50	L.24h	L.24h.F	psilocybin	0.25 mg / kg	24 hour	F	50	5	2	8 weeks	18 grams	9.2	C57BL/6		Psi1	Psi1_A50_Low_Female
51	S.24h.M.51	S.24h	S.24h.M	saline	0.90%	24 hour	M	51	4	2	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A51_NS_Male
52	S.24h.M.52	S.24h	S.24h.M	saline	0.90%	24 hour	M	52	4	2	8 weeks	26 grams	9.3	C57BL/6		Psi1	Psi1_A52_NS_Male
53	S.24h.M.53	S.24h	S.24h.M	saline	0.90%	24 hour	M	53	4	2	8 weeks	26 grams	9.5	C57BL/6		Psi1	Psi1_A53_NS_Male
54	S.24h.M.54	S.24h	S.24h.M	saline	0.90%	24 hour	M	54	4	2	8 weeks	26 grams	9.5	C57BL/6		Psi1	Psi1_A54_NS_Male
55	S.24h.M.55	S.24h	S.24h.M	saline	0.90%	24 hour	M	55	4	2	8 weeks	26 grams	9.4	C57BL/6		Psi1	Psi1_A55_NS_Male
56	S.24h.F.56	S.24h	S.24h.F	saline	0.90%	24 hour	F	56	4	2	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A56_NS_Female
57	S.24h.F.57	S.24h	S.24h.F	saline	0.90%	24 hour	F	57	4	2	8 weeks	18 grams	9.4	C57BL/6		Psi1	Psi1_A57_NS_Female
